= African Cup of Nations qualification 2018

# Date       Sat Sep/8 - Sun Nov/18 2018 (71d)
# Teams      47
# Matches    92

[Sat Sep 8]
  Equatorial Guinea - Sudan  1-0   @ Bata, Equatorial Guinea
  Comoros - Cameroon  1-1   @ Mitsamiouli, Comoros
  Gabon - Burundi  1-1   @ Libreville, Gabon
  Gambia - Algeria  1-1   @ Bakau, Gambia
  South Africa - Libya  0-0   @ Durban, South Africa
  Mauritania - Burkina Faso  2-0   @ Nouakchott, Mauritania
  Egypt - Niger  6-0   @ Alexandria, Egypt
  Namibia - Zambia  1-1   @ Windhoek, Namibia
  Uganda - Tanzania  0-0   @ Kira, Uganda
  Morocco - Malawi  3-0   @ Casablanca, Morocco
  Seychelles - Nigeria  0-3   @ Victoria, Seychelles
  Kenya - Ghana  1-0   @ Nairobi, Kenya
  Mozambique - Guinea-Bissau  2-2   @ Maputo, Mozambique
[Sun Sep 9]
  Congo - Zimbabwe  1-1   @ Brazzaville, Congo
  Rwanda - Ivory Coast  1-2   @ Kigali, Rwanda
  Madagascar - Senegal  2-2   @ Antananarivo, Madagascar
  South Sudan - Mali  0-3   @ Juba, South Sudan
  Togo - Benin  0-0   @ Lomé, Togo
  Guinea - Central African Republic  1-0   @ Conakry, Guinea
  Angola - Botswana  1-0   @ Luanda, Angola
  Eswatini - Tunisia  0-2   @ Manzini, Eswatini
  Lesotho - Cape Verde  1-1   @ Maseru, Lesotho
  Liberia - DR Congo  1-1   @ Monrovia, Liberia
[Wed Oct 10]
  Ethiopia - Kenya  0-0   @ Bahir Dar, Ethiopia
  Zambia - Guinea-Bissau  2-1   @ Lusaka, Zambia
[Thu Oct 11]
  Congo - Liberia  3-1   @ Brazzaville, Congo
[Fri Oct 12]
  Cameroon - Malawi  1-0   @ Yaoundé, Cameroon
  Gabon - South Sudan  3-0   @ Libreville, Gabon
  Togo - Gambia  1-1   @ Lomé, Togo
  Ivory Coast - Central African Republic  4-0   @ Bouaké, Ivory Coast
  Angola - Mauritania  4-1   @ Luanda, Angola
  Egypt - Eswatini  4-1   @ Cairo, Egypt
  Cape Verde - Tanzania  3-0   @ Praia, Cape Verde
  Mali - Burundi  0-0   @ Bamako, Mali
  Algeria - Benin  2-0   @ Blida, Algeria
  Guinea - Rwanda  2-0   @ Conakry, Guinea
[Sat Oct 13]
  Equatorial Guinea - Madagascar  0-1   @ Bata, Equatorial Guinea
  Nigeria - Libya  4-0   @ Uyo, Nigeria
  Senegal - Sudan  3-0   @ Dakar, Senegal
  Morocco - Comoros  1-0   @ Casablanca, Morocco
  South Africa - Seychelles  6-0   @ Johannesburg, South Africa
  DR Congo - Zimbabwe  1-2   @ Kinshasa, DR Congo
  Burkina Faso - Botswana  3-0   @ Ouagadougou, Burkina Faso
  Tunisia - Niger  1-0   @ Radès, Tunisia
  Mozambique - Namibia  1-2   @ Maputo, Mozambique
  Uganda - Lesotho  3-0   @ Kira, Uganda
[Sun Oct 14]
  Guinea-Bissau - Zambia  2-1   @ Bissau, Guinea-Bissau
  Kenya - Ethiopia  3-0   @ Nairobi, Kenya
[Tue Oct 16]
  Madagascar - Equatorial Guinea  1-0   @ Antananarivo, Madagascar
  Malawi - Cameroon  0-0   @ Blantyre, Malawi
  Burundi - Mali  1-1   @ Bujumbura, Burundi
