= FIFA World Cup qualification 2024

# Date       Thu Mar/21 - Tue Nov/19 2024 (243d)
# Teams      141
# Matches    255

[Thu Mar 21]
  Qatar - Kuwait  3-0   @ Doha, Qatar
  Afghanistan - India  0-0   @ Abha, Saudi Arabia
  Myanmar - Syria  1-1   @ Yangon, Myanmar
  Japan - North Korea  1-0   @ Tokyo, Japan
  South Korea - Thailand  1-1   @ Seoul, South Korea
  Singapore - China PR  2-2   @ Kallang, Singapore
  Taiwan - Kyrgyzstan  0-2   @ Taipei, Taiwan
  Oman - Malaysia  2-0   @ Muscat, Oman
  Iran - Turkmenistan  5-0   @ Tehran, Iran
  Hong Kong - Uzbekistan  0-2   @ Hong Kong, Hong Kong
  Indonesia - Vietnam  1-0   @ Jakarta, Indonesia
  Iraq - Philippines  1-0   @ Basra, Iraq
  Pakistan - Jordan  0-3   @ Islamabad, Pakistan
  Saudi Arabia - Tajikistan  1-0   @ Riyadh, Saudi Arabia
  Bahrain - Nepal  5-0   @ Riffa, Bahrain
  United Arab Emirates - Yemen  2-1   @ Abu Dhabi, United Arab Emirates
  Australia - Lebanon  2-0   @ Sydney, Australia
  Palestine - Bangladesh  5-0   @ Kuwait City, Kuwait
[Fri Mar 22]
  Anguilla - Turks and Caicos Islands  0-0   @ The Valley, Anguilla
  United States Virgin Islands - British Virgin Islands  1-1   @ Saint Croix, United States Virgin Islands
[Tue Mar 26]
  India - Afghanistan  1-2   @ Guwahati, India
  Kuwait - Qatar  1-2   @ Al Farwaniyah, Kuwait
  Syria - Myanmar  7-0   @ Dammam, Saudi Arabia
  Thailand - South Korea  0-3   @ Bangkok, Thailand
  China PR - Singapore  4-1   @ Tianjin, China PR
  Kyrgyzstan - Taiwan  5-1   @ Bishkek, Kyrgyzstan
  Malaysia - Oman  0-2   @ Kuala Lumpur, Malaysia
  Uzbekistan - Hong Kong  3-0   @ Tashkent, Uzbekistan
  Turkmenistan - Iran  0-1   @ Ashgabat, Turkmenistan
  Philippines - Iraq  0-5   @ Manila, Philippines
  Vietnam - Indonesia  0-3   @ Hanoi, Vietnam
  Tajikistan - Saudi Arabia  1-1   @ Dushanbe, Tajikistan
  Jordan - Pakistan  7-0   @ Amman, Jordan
  Bahrain - Nepal  3-0   @ Riffa, Bahrain
  Yemen - United Arab Emirates  0-3   @ Khobar, Saudi Arabia
  Bangladesh - Palestine  0-1   @ Dhaka, Bangladesh
  Australia - Lebanon  5-0   @ Canberra, Australia
  British Virgin Islands - United States Virgin Islands  0-0   @ Road Town, British Virgin Islands   [British Virgin Islands wins on penalties]
  Turks and Caicos Islands - Anguilla  1-1   @ Providenciales, Turks and Caicos Islands   [Anguilla wins on penalties]
[Wed Jun 5]
  Sierra Leone - Djibouti  2-1   @ El Jadida, Morocco
  Togo - South Sudan  1-1   @ Lomé, Togo
  Namibia - Liberia  1-1   @ Johannesburg, South Africa
  Tunisia - Equatorial Guinea  1-0   @ Radès, Tunisia
  Central African Republic - Chad  1-0   @ Oujda, Morocco
  Antigua and Barbuda - Bermuda  1-1   @ Piggotts, Antigua and Barbuda
